feature,importance
Max Packet Length,0.08521464514915593
Packet Length Std,0.07330760352521501
Average Packet Size,0.06266194974054307
Packet Length Variance,0.057888002620578846
Avg Bwd Segment Size,0.05541301306810881
Bwd Packet Length Max,0.04384395442713464
Bwd Packet Length Std,0.03845171499164631
Destination Port,0.03810040877999915
Init_Win_bytes_backward,0.02698779741280771
Init_Win_bytes_forward,0.02593389474648
Total Length of Bwd Packets,0.025917544318460054
Fwd Packet Length Max,0.02544462391187961
Fwd Packet Length Mean,0.024606433931960724
Packet Length Mean,0.022676074370909367
Avg Fwd Segment Size,0.022576669423874457
Bwd Packet Length Mean,0.021289898207910496
Subflow Fwd Bytes,0.020879158738315653
Total Length of Fwd Packets,0.016811139140213212
Flow IAT Std,0.016465520293474867
Subflow Bwd Bytes,0.016036632055627546
Min Packet Length,0.015410219044818032
Fwd IAT Max,0.014364999080517945
Bwd Header Length,0.013479617413772967
Subflow Fwd Packets,0.0132828664030497
Total Fwd Packets,0.012942278403121572
URG Flag Count,0.012821972608045977
Fwd Header Length.1,0.012533217129819757
PSH Flag Count,0.012242549032432902
ACK Flag Count,0.012103149951059204
Fwd Header Length,0.011967514876823418
Fwd Packet Length Min,0.01120602908160989
Bwd Packet Length Min,0.011020889829377439
Fwd IAT Min,0.009463850659750113
Fwd IAT Std,0.009142660529133904
Fwd IAT Total,0.007117856657246948
Flow Packets/s,0.007076871197911332
act_data_pkt_fwd,0.006773327902661938
Bwd Packets/s,0.006468085202155067
Flow IAT Max,0.006109324149305499
Subflow Bwd Packets,0.006104237645261138
Flow Bytes/s,0.005806668033136568
Total Backward Packets,0.005080776556223398
Fwd IAT Mean,0.004832319060336639
Flow IAT Mean,0.004657751712103494
Idle Min,0.0044399145185836765
Bwd IAT Mean,0.0044062026569195506
Flow IAT Min,0.004108003759771281
Fwd Packet Length Std,0.003935532368831706
Flow Duration,0.003754553508604042
min_seg_size_forward,0.003656496546091425
Fwd Packets/s,0.0036236841149203227
Bwd IAT Max,0.0034259928214874624
Bwd IAT Total,0.0023598992082380765
Idle Mean,0.0022943760807511166
Active Min,0.0017841700043811743
Bwd IAT Min,0.0016823370553091712
Bwd IAT Std,0.0014170599441828936
Idle Max,0.001139912586786771
Active Mean,0.0011151647723761072
Active Std,0.0010767554197554652
Down/Up Ratio,0.0008731917460436722
Active Max,0.0008208950865224578
Idle Std,0.0006697680560556038
FIN Flag Count,0.0005012906633074069
Fwd PSH Flags,0.0002519044561826413
SYN Flag Count,0.00014542144956635223
RST Flag Count,9.062682934792918e-07
Fwd URG Flags,5.223968558939951e-07
CWE Flag Count,2.6665333558406574e-07
ECE Flag Count,6.684287636370369e-08
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
